# frame.time_epoch ip.src ip.dst tcp.dstport
0.000 198.51.100.10 203.0.113.1 443
1.000 198.51.100.11 203.0.113.1 443
2.000 198.51.100.12 203.0.113.1 443
3.000 198.51.100.10 203.0.113.1 443
4.000 198.51.100.11 203.0.113.1 443
5.000 198.51.100.12 203.0.113.1 443
6.000 198.51.100.10 203.0.113.1 443
7.000 198.51.100.11 203.0.113.1 443
8.000 198.51.100.12 203.0.113.1 443
9.000 198.51.100.10 203.0.113.1 443
10.000 198.51.100.11 203.0.113.1 443
11.000 198.51.100.12 203.0.113.1 443
12.000 198.51.100.10 203.0.113.1 443
13.000 198.51.100.11 203.0.113.1 443
14.000 198.51.100.12 203.0.113.1 443
15.000 198.51.100.10 203.0.113.1 443
16.000 198.51.100.11 203.0.113.1 443
17.000 198.51.100.12 203.0.113.1 443
18.000 198.51.100.10 203.0.113.1 443
19.000 198.51.100.11 203.0.113.1 443
20.000 198.51.100.12 203.0.113.1 443
21.000 198.51.100.10 203.0.113.1 443
22.000 198.51.100.11 203.0.113.1 443
23.000 198.51.100.12 203.0.113.1 443
24.000 198.51.100.10 203.0.113.1 443
25.000 198.51.100.11 203.0.113.1 443
26.000 198.51.100.12 203.0.113.1 443
27.000 198.51.100.10 203.0.113.1 443
28.000 198.51.100.11 203.0.113.1 443
29.000 198.51.100.12 203.0.113.1 443
30.000 198.51.100.10 203.0.113.1 443
31.000 198.51.100.11 203.0.113.1 443
32.000 198.51.100.12 203.0.113.1 443
33.000 198.51.100.10 203.0.113.1 443
34.000 198.51.100.11 203.0.113.1 443
35.000 198.51.100.12 203.0.113.1 443
36.000 198.51.100.10 203.0.113.1 443
