# frame.time_epoch ip.src ip.dst tcp.dstport
0.000 198.51.100.10 203.0.113.1 443
2.000 198.51.100.11 203.0.113.1 443
4.000 198.51.100.12 203.0.113.1 443
6.000 198.51.100.10 203.0.113.1 443
8.000 198.51.100.11 203.0.113.1 443
10.000 198.51.100.12 203.0.113.1 443
12.000 198.51.100.10 203.0.113.1 443
14.000 198.51.100.11 203.0.113.1 443
16.000 198.51.100.12 203.0.113.1 443
18.000 198.51.100.10 203.0.113.1 443
20.000 198.51.100.11 203.0.113.1 443
22.000 198.51.100.12 203.0.113.1 443
24.000 198.51.100.10 203.0.113.1 443
26.000 198.51.100.11 203.0.113.1 443
28.000 198.51.100.12 203.0.113.1 443
30.000 198.51.100.10 203.0.113.1 443
32.000 198.51.100.11 203.0.113.1 443
34.000 198.51.100.12 203.0.113.1 443
36.000 198.51.100.10 203.0.113.1 443
38.000 198.51.100.11 203.0.113.1 443
40.000 198.51.100.12 203.0.113.1 443
42.000 198.51.100.10 203.0.113.1 443
44.000 198.51.100.11 203.0.113.1 443
46.000 198.51.100.12 203.0.113.1 443
48.000 198.51.100.10 203.0.113.1 443
50.000 198.51.100.11 203.0.113.1 443
52.000 198.51.100.12 203.0.113.1 443
54.000 198.51.100.10 203.0.113.1 443
56.000 198.51.100.11 203.0.113.1 443
58.000 198.51.100.12 203.0.113.1 443
